WELL_ID,TOWN,STREET_NUMBER,STREET_NAME,Address,LATITUDE,LONGITUDE,DATE_COMPLETE,WELL_TYPE,WORKPERFORMED,TOTAL_DEPTH,DEPTH_TO_BEDROCK,WATER_LEVEL,Numeric Water Level
127872,Hawley,8,Pudding Hollow Road,8 Pudding Hollow Road Hawley MA,,,3/3/2004,Domestic,New Well,440,120,30,30
132015,Hawley,15,Pond Road,15 Pond Road Hawley MA,,,9/8/2004,Domestic,New Well,120,50,flowing,0
133467,Hawley,59,East Hawley Road,59 East Hawley Road Hawley MA,,,7/7/2004,Domestic,Deepen,440,127,60,60
137073,Hawley,23,North Street,23 North Street Hawley MA,,,4/12/2006,Domestic,New Well,160,16,20,20
143029,Hawley,26,Dodge Corner Road,26 Dodge Corner Road Hawley MA,,,9/30/2005,Domestic,New Well,220,46,30,30
143040,Hawley,,West Hawley Road / Route 8A, West Hawley Road / Route 8A Hawley MA,,,,,,140,100,overflows,0
148963,Hawley,49,E. Hawley Road,49 E. Hawley Road Hawley MA,42.61015,-72.891017,9/30/2007,Domestic,New Well,482,60,40,40
149014,Hawley,200,West Hawley Road,200 West Hawley Road Hawley MA,42.60015,-72.9338,11/3/2006,Domestic,New Well,120,30,Overflow,0
149055,Hawley,28,Dodge Road,28 Dodge Road Hawley MA,42.5981,-72.842017,12/4/2006,Domestic,New Well,260,2,7,7
151220,Hawley,58,East Road,58 East Road Hawley MA,42.609067,-72.879283,6/21/2007,Domestic,New Well,123,67,0,0
155360,Hawley,112,Forget Road,112 Forget Road Hawley MA,42.581533,-72.860733,5/10/2008,Domestic,New Well,362,4,30,30
251663,Hawley,127,East Hawley Rd,127 East Hawley Rd Hawley MA,42.597017,-72.88745,5/28/2008,Domestic,New Well,220,18,40,40
251735,Hawley,,Burlington Road, Burlington Road Hawley MA,,,6/29/1988,Domestic,New Well,220,29,,0
252342,Hawley,,Middle  Road, Middle  Road Hawley MA,,,11/3/1999,Domestic,Deepen,280,,22,22
252344,Hawley,,Labelle Road, Labelle Road Hawley MA,,,6/29/2000,Domestic,New Well,325,46,12,12
252346,Hawley,,Forge Hill Road, Forge Hill Road Hawley MA,,,9/9/1999,Domestic,New Well,165,115,2,2
252347,Hawley,,Charlemont Road, Charlemont Road Hawley MA,,,6/6/1999,Domestic,New Well,300,5,20,20
252348,Hawley,,Plainfield Road, Plainfield Road Hawley MA,,,5/18/1999,Domestic,New Well,265,50,18,18
264848,Hawley,24,Bozrah Road,24 Bozrah Road Hawley MA,42.60825,-72.88565,10/1/2009,Domestic,Replacement,145,60,0,0
280643,Hawley,,Labelle Road, Labelle Road Hawley MA,,,4/28/1999,Domestic,New Well,325,57,15,15
280644,Hawley,,East Hawley Road, East Hawley Road Hawley MA,,,7/15/1997,Domestic,New Well,200,85,10,10
280645,Hawley,,Pudding Hollow Road, Pudding Hollow Road Hawley MA,,,3/4/1997,Domestic,New Well,200,90,35,35
